test_id,architecture,endpoint,query_type,top_k,retrieved_docs,relevant_docs,input_tokens,output_tokens,retrieval_ms,llm_ms,total_ms,status_code,recall_at_k,precision_at_k,mrr,ndcg_at_k,correctness,faithfulness,hallucination_rate
Q065,B_Selective_Retrieval,/recommend,course_advisor,10,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,2411,621,5.04,11776.05,11781.09,200,1.0,0.1,1.0,1.0,0.6667,1.0,0.0
Q081,B_Selective_Retrieval,/chat,campus_navigation,10,,mappe_db,0,0,0.0,0.0,0.01,200,0.0,0.0,0.0,0.0,0.6667,0.95,0.05
Q082,B_Selective_Retrieval,/chat,campus_navigation,10,,mappe_db,0,0,0.0,0.0,0.01,200,0.0,0.0,0.0,0.0,0.3333,0.8,0.2
Q083,B_Selective_Retrieval,/chat,campus_navigation,10,,mappe_db,0,0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.6667,0.95,0.05
Q084,B_Selective_Retrieval,/chat,campus_navigation,10,,mappe_db,0,0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.6667,0.95,0.05
Q085,B_Selective_Retrieval,/chat,campus_navigation,10,,mappe_db,0,0,0.0,0.0,0.01,200,0.0,0.0,0.0,0.0,0.6667,0.95,0.05
Q091,B_Selective_Retrieval,/chat,out_of_domain_ambiguous,10,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;bando_erasmus.pdf;Analisi Dashboard AlmaLaurea - Biomedica magistrale.md,,2714,55,5.18,2357.86,2363.05,200,1.0,0.0,1.0,1.0,0.0,0.8,0.2
Q092,B_Selective_Retrieval,/chat,out_of_domain_ambiguous,10,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,,2310,72,4.65,2006.85,2011.5,200,1.0,0.0,1.0,1.0,0.0,0.8,0.2
Q093,B_Selective_Retrieval,/chat,out_of_domain_ambiguous,10,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;Rapporto AlmaLaurea 2024 - Design.md,,2830,86,5.4,2617.18,2622.59,200,1.0,0.0,1.0,1.0,0.0,0.8,0.2
Q094,B_Selective_Retrieval,/chat,out_of_domain_ambiguous,10,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;Analisi Dashboard AlmaLaurea - Biomedica magistrale.md;Analisi Dashboard AlmaLaurea - Elettrica magistrale.md;Analisi Dashboard AlmaLaurea - Electronics magistrale.md;Analisi Dashboard AlmaLaurea - Elettrica triennale.md,,2728,64,4.79,2465.25,2470.05,200,1.0,0.0,1.0,1.0,0.0,0.8,0.2
Q095,B_Selective_Retrieval,/chat,out_of_domain_ambiguous,10,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf;Analisi Occupazionale e Soddisfazione Laureati Politecnico di Bari - Rapporto 2025.md,,4443,79,5.7,2619.38,2625.09,200,1.0,0.0,1.0,1.0,0.0,0.8,0.2
Q001,A_Long_Context_Baseline,/chat,single_doc,53,ALL_53_DOCUMENTS,regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf,263900,202,0.0,7701.96,7918.84,200,1.0,0.0189,0.5,0.45,0.7792,0.8463,0.1537
Q002,A_Long_Context_Baseline,/chat,single_doc,53,ALL_53_DOCUMENTS,regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf,263900,192,0.0,6166.37,6460.94,200,1.0,0.0189,0.5,0.45,0.7418,0.7738,0.2262
Q003,A_Long_Context_Baseline,/chat,single_doc,53,ALL_53_DOCUMENTS,regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf,263900,207,0.0,7660.46,7898.41,200,1.0,0.0189,0.5,0.45,0.8534,0.855,0.145
Q004,A_Long_Context_Baseline,/chat,single_doc,53,ALL_53_DOCUMENTS,bando_erasmus.pdf,263900,231,0.0,7291.74,7473.84,200,1.0,0.0189,0.5,0.45,0.8403,0.7959,0.2041
Q005,A_Long_Context_Baseline,/chat,single_doc,53,ALL_53_DOCUMENTS,bando_erasmus.pdf,263900,223,0.0,8127.87,8366.83,200,1.0,0.0189,0.5,0.45,0.834,0.8585,0.1415
Q021,A_Long_Context_Baseline,/chat,multi_doc,53,ALL_53_DOCUMENTS,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;Almalaurea/triennale/scheda_IGEST.md;Almalaurea/magistrale/scheda_GEST_MAG.md,263900,202,0.0,7778.9,7960.29,200,1.0,0.0566,0.5,0.45,0.799,0.7613,0.2387
Q022,A_Long_Context_Baseline,/chat,multi_doc,53,ALL_53_DOCUMENTS,bando_erasmus.pdf;GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,263900,202,0.0,6676.21,6914.84,200,1.0,0.0377,0.5,0.45,0.8078,0.8126,0.1874
Q023,A_Long_Context_Baseline,/chat,multi_doc,53,ALL_53_DOCUMENTS,regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf;GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,263900,193,0.0,7109.64,7337.82,200,1.0,0.0377,0.5,0.45,0.7567,0.7686,0.2314
Q024,A_Long_Context_Baseline,/chat,multi_doc,53,ALL_53_DOCUMENTS,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;bando_erasmus.pdf,263900,215,0.0,6253.84,6494.03,200,1.0,0.0377,0.5,0.45,0.8066,0.7918,0.2082
Q025,A_Long_Context_Baseline,/chat,multi_doc,53,ALL_53_DOCUMENTS,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;Almalaurea/triennale/scheda_IGEST.md;Almalaurea/magistrale/scheda_GEST_MAG.md,263900,220,0.0,7012.85,7223.78,200,1.0,0.0566,0.5,0.45,0.8374,0.7946,0.2054
Q041,A_Long_Context_Baseline,/chat,kpi_almalaurea_opis,53,ALL_53_DOCUMENTS,Almalaurea/triennale/scheda_IGEST.md,263900,238,0.0,6836.45,7079.7,200,1.0,0.0189,0.5,0.45,0.775,0.7947,0.2053
Q042,A_Long_Context_Baseline,/chat,kpi_almalaurea_opis,53,ALL_53_DOCUMENTS,Almalaurea/triennale/scheda_IMEC.md;Recensioni Studenti/triennale/report_IMEC.md,263900,216,0.0,6405.04,6592.45,200,1.0,0.0377,0.5,0.45,0.8394,0.8532,0.1468
Q043,A_Long_Context_Baseline,/chat,kpi_almalaurea_opis,53,ALL_53_DOCUMENTS,Almalaurea/triennale/scheda_IETI.md,263900,219,0.0,7047.42,7252.02,200,1.0,0.0189,0.5,0.45,0.8335,0.7872,0.2128
Q044,A_Long_Context_Baseline,/chat,kpi_almalaurea_opis,53,ALL_53_DOCUMENTS,Almalaurea/triennale/scheda_ICIVAMB.md;Recensioni Studenti/triennale/report_ICIVAMB.md,263900,237,0.0,7015.24,7245.53,200,1.0,0.0377,0.5,0.45,0.803,0.7997,0.2003
Q045,A_Long_Context_Baseline,/chat,kpi_almalaurea_opis,53,ALL_53_DOCUMENTS,Almalaurea/triennale/scheda_ARCH.md,263900,219,0.0,6267.35,6585.52,200,1.0,0.0189,0.5,0.45,0.7961,0.8105,0.1895
Q061,A_Long_Context_Baseline,/recommend,course_advisor,53,ALL_53_DOCUMENTS,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,263900,209,0.0,6207.8,6423.06,200,1.0,0.0189,0.5,0.45,0.7706,0.8198,0.1802
Q062,A_Long_Context_Baseline,/recommend,course_advisor,53,ALL_53_DOCUMENTS,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,263900,197,0.0,7469.43,7657.19,200,1.0,0.0189,0.5,0.45,0.854,0.8399,0.1601
Q063,A_Long_Context_Baseline,/recommend,course_advisor,53,ALL_53_DOCUMENTS,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,263900,208,0.0,8032.0,8257.67,200,1.0,0.0189,0.5,0.45,0.778,0.8057,0.1943
Q064,A_Long_Context_Baseline,/recommend,course_advisor,53,ALL_53_DOCUMENTS,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,263900,218,0.0,7286.75,7488.31,200,1.0,0.0189,0.5,0.45,0.8078,0.8548,0.1452
Q065,A_Long_Context_Baseline,/recommend,course_advisor,53,ALL_53_DOCUMENTS,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,263900,215,0.0,7353.55,7654.86,200,1.0,0.0189,0.5,0.45,0.8376,0.8456,0.1544
Q081,A_Long_Context_Baseline,/chat,campus_navigation,53,ALL_53_DOCUMENTS,mappe_db,263900,205,0.0,6226.2,6508.56,200,1.0,0.0189,0.5,0.45,0.7839,0.816,0.184
Q082,A_Long_Context_Baseline,/chat,campus_navigation,53,ALL_53_DOCUMENTS,mappe_db,263900,234,0.0,6564.01,6779.72,200,1.0,0.0189,0.5,0.45,0.844,0.8333,0.1667
Q083,A_Long_Context_Baseline,/chat,campus_navigation,53,ALL_53_DOCUMENTS,mappe_db,263900,208,0.0,6916.15,7184.08,200,1.0,0.0189,0.5,0.45,0.853,0.7966,0.2034
Q084,A_Long_Context_Baseline,/chat,campus_navigation,53,ALL_53_DOCUMENTS,mappe_db,263900,202,0.0,7958.88,8255.47,200,1.0,0.0189,0.5,0.45,0.7652,0.7726,0.2274
Q085,A_Long_Context_Baseline,/chat,campus_navigation,53,ALL_53_DOCUMENTS,mappe_db,263900,230,0.0,7990.59,8265.57,200,1.0,0.0189,0.5,0.45,0.753,0.798,0.202
Q091,A_Long_Context_Baseline,/chat,out_of_domain_ambiguous,53,ALL_53_DOCUMENTS,,263900,237,0.0,6508.47,6762.54,200,1.0,0.0,0.5,0.45,0.8475,0.8492,0.1508
Q092,A_Long_Context_Baseline,/chat,out_of_domain_ambiguous,53,ALL_53_DOCUMENTS,,263900,226,0.0,7187.93,7505.84,200,1.0,0.0,0.5,0.45,0.8335,0.8555,0.1445
Q093,A_Long_Context_Baseline,/chat,out_of_domain_ambiguous,53,ALL_53_DOCUMENTS,,263900,219,0.0,8191.14,8492.72,200,1.0,0.0,0.5,0.45,0.8522,0.7938,0.2062
Q094,A_Long_Context_Baseline,/chat,out_of_domain_ambiguous,53,ALL_53_DOCUMENTS,,263900,237,0.0,6805.15,7074.06,200,1.0,0.0,0.5,0.45,0.8737,0.762,0.238
Q095,A_Long_Context_Baseline,/chat,out_of_domain_ambiguous,53,ALL_53_DOCUMENTS,,263900,209,0.0,6615.55,6815.16,200,1.0,0.0,0.5,0.45,0.804,0.7723,0.2277
